epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.285,1.58319,9.80303,0.88475,0.98001,0.375,0.41997,0.21159,1.00487,19.9342,0.70484,9.999e-05,9.999e-05,9.999e-05
2,91.3797,0.92484,9.15668,0.58749,0.92561,0.4375,0.44349,0.20549,1.10107,26.3575,0.68343,0.000209,0.000209,0.000209
3,129.943,1.46915,4.15708,0.9644,0.91356,0.4375,0.55711,0.24843,1.07687,17.1692,0.65408,0.000315811,0.000315811,0.000315811
4,193.151,1.10408,12.2122,0.72392,0.00392,0.8125,0.17358,0.11517,1.16388,9.69551,0.733,0.000420421,0.000420421,0.000420421
5,226.202,1.11572,8.1812,0.64072,0.00392,0.8125,0.17358,0.11517,1.16388,9.69551,0.733,0.000522832,0.000522832,0.000522832
6,263.803,0.97812,8.202,0.59139,0.91028,0.25,0.49801,0.29748,0.85278,1401.37,0.63324,0.000623043,0.000623043,0.000623043
7,291.819,1.7607,5.06853,1.18258,0.91028,0.25,0.49801,0.29748,0.85278,1401.37,0.63324,0.000721055,0.000721055,0.000721055
8,331.528,1.94572,5.44483,1.13269,0.22779,0.41931,0.2989,0.17796,0.77644,52431.6,0.64479,0.000816866,0.000816866,0.000816866
9,358.824,0.91344,11.268,0.57197,0.22779,0.41931,0.2989,0.17796,0.77644,52431.6,0.64479,0.000910478,0.000910478,0.000910478
10,393.709,1.16009,11.333,0.6657,0.22779,0.41931,0.2989,0.17796,0.77644,52431.6,0.64479,0.00100189,0.00100189,0.00100189
11,428.099,1.17954,11.6085,0.66503,0.22779,0.41931,0.2989,0.17796,0.77644,52431.6,0.64479,0.00100101,0.00100101,0.00100101
12,465.02,1.39458,6.27746,0.77596,0,0,0,0,1.12887,683366,0.80268,0.000990012,0.000990012,0.000990012
